Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Snow Day,Chris Koch,Chevy Chase,2000,5.2,34,PG,Adventure,89
Too Old for Fairy Tales 2,Kristoffer Rus,Maciej Karas,2024,4.8,57.1,PG,Family,100
The Water Horse,Jay Russell,Emily Watson,2007,6.4,71,PG,Adventure,112
Flipper,Alan Shapiro,Paul Hogan,1996,5.3,43,PG,Adventure,95
Flow,Gints Zilbalodis,Daniel Radcliffe,2024,7.6,57.1,PG,Animation,100
The Ant Bully,John A. Davis,Paul Giamatti,2006,5.8,59,PG,Animation,88
Teen Titans GO! To the Movies,Aaron Horvath,Greg Cipes,2018,6.7,69,PG,Animation,84
The Kid,Charles Chaplin,Charles Chaplin,1921,8.2,57.1,Passed,Comedy,68
Once Upon a Forest,Charles Grosvenor,Michael Crawford,1993,6.4,57.1,G,Animation,71
We're Back! A Dinosaur's Story,Phil Nibbelink,John Goodman,1993,6,57.1,G,Animation,72
Nancy Drew,Andrew Fleming,Emma Roberts,2007,5.9,53,PG,Comedy,99
3 Ninjas Kick Back,Charles T. Kanganis,Victor Wong,1994,4.6,39,PG,Action,93
The Healer,Paco Arango,Oliver Jackson-Cohen,2016,6.4,57.1,Not Rated,Comedy,113
Lucy Shimmers and the Prince of Peace,Rob Diamond,Scarlett Diamond,2020,7.1,57.1,TV-G,Drama,87
The Beat Beneath My Feet,John Williams,Luke Perry,2014,6.4,57.1,TV-14,Comedy,91
Ruby Red,Felix Fuchssteiner,Josefine Preuß,2013,6,57.1,PG,Action,100
Beethoven's 2nd,Rod Daniel,Charles Grodin,1993,5,57.1,PG,Comedy,89
The Odd Life of Timothy Green,Peter Hedges,Jennifer Garner,2012,6.6,47,PG,Comedy,105
Rocky Aur Rani Kii Prem Kahaani,Karan Johar,Ranveer Singh,2023,6.5,57.1,Not Rated,Comedy,168
A Whisker Away,Jun'ichi Satô,Mirai Shida,2020,6.7,57.1,TV-PG,Animation,104
The Nut Job,Peter Lepeniotis,Will Arnett,2014,5.7,37,PG,Animation,85
Simon Birch,Mark Steven Johnson,Ian Michael Smith,1998,6.8,39,PG,Comedy,114
Paulie,John Roberts,Gena Rowlands,1998,6.5,57.1,PG,Adventure,91
BMX Bandits,Brian Trenchard-Smith,David Argue,1983,5.5,53,PG,Action,88
Strange Magic,Gary Rydstrom,Evan Rachel Wood,2015,5.7,25,PG,Animation,99
The Bad News Bears in Breaking Training,Michael Pressman,William Devane,1977,5.6,47,PG,Comedy,100
Shrek the Musical,Michael John Warren,Brian d'Arcy James,2013,6.9,57.1,TV-G,Comedy,130
Raise Your Voice,Sean McNamara,Hilary Duff,2004,5.8,33,PG,Family,103
Free Birds,Jimmy Hayward,Woody Harrelson,2013,5.8,38,PG,Animation,91
Over the Moon,Glen Keane,Glen Keane,2020,6.3,60,PG,Animation,95
Stuart Little 2,Rob Minkoff,Michael J. Fox,2002,5.5,66,PG,Adventure,77
Abbott and Costello Meet Frankenstein,Charles Barton,Bud Abbott,1948,7.3,69,Approved,Comedy,83
North,Rob Reiner,Elijah Wood,1994,4.5,57.1,PG,Adventure,87
Fun Size,Josh Schwartz,Victoria Justice,2012,5.4,37,PG-13,Adventure,86
The Boxtrolls,Graham Annable,Ben Kingsley,2014,6.8,61,PG,Animation,96
Harriet the Spy,Bronwen Hughes,Michelle Trachtenberg,1996,6,57.1,PG,Comedy,100
Pom Poko,Isao Takahata,Shinchô Kokontei,1994,7.3,77,PG,Animation,119
Underdog,Frederik Du Chau,Peter Dinklage,2007,4.8,37,PG,Action,84
Woody Woodpecker,Alex Zamm,Eric Bauza,2017,4.2,57.1,PG,Animation,91
Charlotte's Web,Charles Nichols,Debbie Reynolds,1973,6.9,73,G,Animation,94
Secret Society of Second Born Royals,Anna Mastro,Peyton Elizabeth Lee,2020,5,34,TV-PG,Action,99
The Wild,Steve 'Spaz' Williams,Kiefer Sutherland,2006,5.2,47,G,Animation,82
The Swan Princess,Richard Rich,Jack Palance,1994,6.4,70,G,Animation,90
An American Tail: Fievel Goes West,Phil Nibbelink,James Stewart,1991,6.5,57.1,G,Animation,75
Wild Hearts Can't Be Broken,Steve Miner,Gabrielle Anwar,1991,7.2,57.1,G,Drama,88
White Fang,Randal Kleiser,Ethan Hawke,1991,6.7,62,PG,Adventure,107
Captains Courageous,Victor Fleming,Spencer Tracy,1937,7.9,81,Approved,Adventure,117
The Muppets Take Manhattan,Frank Oz,Jim Henson,1984,6.8,64,G,Adventure,94
Thomas and the Magic Railroad,Britt Allcroft,Alec Baldwin,2000,4.2,19,G,Adventure,85
Planet 51,Jorge Blanco,Dwayne Johnson,2009,6,39,PG,Animation,91
Hop,Tim Hill,Russell Brand,2011,5.4,41,PG,Animation,95
The Yearling,Clarence Brown,Gregory Peck,1946,7.2,89,Approved,Drama,128
For Prophet,Mark Stewart Iverson,Ben Marten,2024,7.8,57.1,PG,Comedy,100
The Legend of Catclaws Mountain,Ritchie Greer,Hayden Hishaw,2024,5.1,57.1,PG,Family,104
Pokémon: The First Movie - Mewtwo Strikes Back,Kunihiko Yuyama,Veronica Taylor,1998,6.3,35,G,Animation,96
Meet Dave,Brian Robbins,Eddie Murphy,2008,5.1,43,PG,Adventure,90
Mavka: The Forest Song,Oleh Malamuzh,Sarah Natochenny,2023,6.6,57.1,PG,Animation,100
Hi Nanna,Shouryuv,Nani,2023,8.2,57.1,PG,Drama,100
The One and Only Ivan,Thea Sharrock,Sam Rockwell,2020,6.6,58,PG,Adventure,95
Dog Gone,Stephen Herek,Rob Lowe,2023,6.1,42,TV-PG,Biography,95
Madeline,Daisy von Scherler Mayer,Frances McDormand,1998,6,57.1,PG,Comedy,88
The Girl Who Believes in Miracles,Richard Correll,Mira Sorvino,2021,5.9,57.1,PG,Drama,100
Sinbad and the Eye of the Tiger,Sam Wanamaker,Patrick Wayne,1977,6.4,57.1,G,Action,113
Stormbreaker,Geoffrey Sax,Alex Pettyfer,2006,5.1,42,PG,Action,93
Nanny McPhee Returns,Susanna White,Emma Thompson,2010,6.1,52,PG,Comedy,109
Fly Away Home,Carroll Ballard,Jeff Daniels,1996,6.9,77,PG,Adventure,107
"Miraculous: Ladybug & Cat Noir, the Movie",Jeremy Zag,Annouck Hautbois,2023,6.1,57.1,PG,Animation,105
The Kid,Jon Turteltaub,Bruce Willis,2000,6.1,45,PG,Comedy,104
My Little Pony: A New Generation,Robert Cullen,Vanessa Hudgens,2021,6.8,57.1,PG,Animation,90
Tad the Lost Explorer and the Emerald Tablet,Enrique Gato,Óscar Barberán,2022,6,57.1,PG,Animation,90
Mr. Magorium's Wonder Emporium,Zach Helm,Natalie Portman,2007,6.2,48,G,Comedy,93
Kes,Ken Loach,David Bradley,1969,7.9,57.1,PG-13,Drama,111
Apollo 10½: A Space Age Childhood,Richard Linklater,Milo Coy,2022,7.2,79,PG-13,Animation,97
The Black Stallion,Carroll Ballard,Kelly Reno,1979,7.4,84,G,Adventure,118
Journey to Bethlehem,Adam Anders,Fiona Palomo,2023,6.4,57.1,PG,Adventure,99
Snow Dogs,Brian Levant,Cuba Gooding Jr.,2002,5.2,29,PG,Adventure,99
Mummies,Juan Jesús García Galocha,Óscar Barberán,2023,5.9,57.1,PG,Animation,88
Condorman,Charles Jarrott,Michael Crawford,1981,5.7,46,PG,Action,90
